Manufacturer,EV Model,EV Type,Range
<h4>Al Damani</h4>,<li>Model : DMV300 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 405 km</li>"
<h4>Audi</h4>,<li>Model : E-Tron </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 436 km</li>"
<h4>AXL</h4>,<li>Model : SHARX-5 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 500 km</li>"
<h4>BMW</h4>,<li>Model : iX3 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 460 km</li>"
<h4>BMW</h4>,<li>Model : i7 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 625 km</li>"
<h4>BMW</h4>,<li>Model : i4 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 600 km</li>"
<h4>BMW</h4>,<li>Model : iX </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 600 km +</li>"
<h4>BYD</h4>,<li>Model : BYD Atto 3 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 420 km</li>"
<h4>Cadillac</h4>,<li>Model : LYRIQ </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 482 km</li>"
<h4>Chevrolet</h4>,<li>Model : Bolt  </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 459 km</li>"
<h4>EGME</h4>,<li>Model : EGME Electric Van </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 300 km</li>"
<h4>GMC</h4>,<li>Model : Hummer EV SUV </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 482 km</li>"
<h4>GMC</h4>,<li>Model : Hummer EV Pick-up </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 560 km</li>"
<h4>Hyundai</h4>,<li>Model : KONA </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 482 km</li>"
<h4>Jaguar Land Rover</h4>,<li>Model : I-Pace </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 470 km</li>"
<h4>Mercedes-Benz</h4>,<li>Model : EQB </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 419 km</li>"
<h4>Mercedes-Benz</h4>,<li>Model : EQS SUV </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 660 km</li>"
<h4>Mercedes-Benz</h4>,<li>Model : EQE </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 660 km</li>"
<h4>Mercedes-Benz</h4>,<li>Model : EQA </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 426 km</li>"
<h4>Mercedes-Benz</h4>,<li>Model : EQC  </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 417 km</li>"
<h4>Mercedes-Benz</h4>,<li>Model : EQS </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 785km</li>"
<h4>MG</h4>,<li>Model : ZS EV </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 263 km</li>"
<h4>Peugeot</h4>,<li>Model : E-Partner </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 280 km</li>"
<h4>Peugeot</h4>,<li>Model : E-Expert </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 280 km</li>"
<h4>Peugeot</h4>,<li>Model : E-2008 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 300 km</li>"
<h4>Peugeot</h4>,<li>Model : E-208 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 300 km</li>"
<h4>Polestar</h4>,<li>Model : Polestar 2 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 540 km</li>"
<h4>Porsche</h4>,<li>Model : Taycan </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 380 km +</li>"
<h4>Renault</h4>,<li>Model : Zoe </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 395 km</li>"
<h4>Skywell</h4>,<li>Model : ET5 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 520 km (under NEDC)</li>"
<h4>Tesla</h4>,<li>Model : Model S  </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 610 km</li>"
<h4>Tesla</h4>,<li>Model : Model X </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 507 km</li>"
<h4>Tesla</h4>,<li>Model : Model 3  </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 409 km +</li>"
<h4>Tesla</h4>,<li>Model : Model Y </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 507 km</li>"
<h4>Volvo</h4>,<li>Model : XC40 Recharge </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 418 km</li>"
<h4>Volvo</h4>,<li>Model : Volvo EX90 </li>,<li>Type : BEV</li>,"<li style=""display:block"">Range : 600 km</li>"
<h4>Bentley</h4>,<li>Model : Flying Spur Hybrid Mulliner </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 41 km</li>"
<h4>Ferrari</h4>,<li>Model : SF90 Stradale </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 25 km</li>"
<h4>Hyundai</h4>,<li>Model : Santa Fe Plug-in Hybrid </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 48 km</li>"
<h4>Jaguar</h4>,<li>Model : E-Pace Plug-in Hybrid </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 68 km</li>"
<h4>Jaguar</h4>,<li>Model : F-Pace Plug-in Hybrid </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 59 km</li>"
<h4>Jeep</h4>,<li>Model : Wrangler 4xe </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 34 km</li>"
<h4>McLaren</h4>,<li>Model : Artura </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 31 km</li>"
<h4>Mini Cooper</h4>,<li>Model : Countryman Plug-in Hybrid </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 61 km</li>"
<h4>Peugeot</h4>,<li>Model : 408 Plug-in Hybrid </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : Pending WLTP Certification</li>"
<h4>Peugeot</h4>,<li>Model : 3008 SUV HYBRID4 </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 45 km</li>"
<h4>Porsche</h4>,<li>Model : Cayenne E-Hybrid </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 36 km</li>"
<h4>Porsche</h4>,<li>Model : Panamera 4 E-Hybrid </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 44 km</li>"
<h4>Volvo</h4>,<li>Model : XC90 Recharge </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 51 km</li>"
<h4>Volvo</h4>,<li>Model : XC60 Recharge </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 53 km</li>"
<h4>Volvo</h4>,<li>Model : S90 Recharge </li>,<li>Type : PHEV</li>,"<li style=""display:block"">Range : 61 km</li>"
<h4>Bentley</h4>,<li>Model : Flying Spur Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Hyundai</h4>,<li>Model : Santa Fe Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Lexus</h4>,<li>Model : ES Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Lexus</h4>,<li>Model : NX Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Lexus</h4>,<li>Model : RX Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Lexus</h4>,<li>Model : LS Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Maserati</h4>,<li>Model : Levante GT Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Maserati</h4>,<li>Model : Ghibli GT Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
<h4>Mercedes-Benz</h4>,<li>Model : S-class Sedan Hybrid </li>,<li>Type : HEV</li>,"<li style=""display:none"">Range : </li>"
